city,latitude,longitude,temp_max_F,humid,cloud,wind_mph
albany,42.6001,-73.9662,72.36,84,42,4.0
ushuaia,-54.8,-68.3,33.46,75,75,6.91
saint-philippe,-21.3585,55.7679,69.35,78,54,12.88
chabahar,25.2919,60.643,86.67,82,58,7.56
rikitea,-23.1203,-134.9692,71.1,65,71,22.62
kapaa,22.0752,-159.319,85.98,75,75,5.01
asbe teferi,9.0833,40.8667,59.2,90,100,4.9
egvekinot,66.3167,-179.1667,43.47,67,66,9.95
yacuiba,-22.038,-63.6797,49.44,40,0,3.69
norman wells,65.282,-126.8329,82.44,34,20,14.97
mataura,-46.1927,168.8643,46.47,79,100,2.48
khatanga,71.9667,102.5,58.28,77,100,12.88
bredasdorp,-34.5322,20.0403,42.12,81,53,8.05
qaanaaq,77.484,-69.3632,37.92,89,97,0.67
kapaa,22.0752,-159.319,85.98,75,75,5.01
saint andrews,34.0454,-81.1293,74.79,85,90,1.01
amod,21.9833,72.9,82.71,76,84,16.73
saint-augustin,51.226,-58.6502,58.8,84,99,12.35
barcelos,41.5388,-8.6151,65.28,96,21,1.32
qaanaaq,77.484,-69.3632,37.92,89,97,0.67
ribeira grande,38.5167,-28.7,68.81,80,37,15.7
port elizabeth,-33.918,25.5701,50.29,66,0,14.97
vostok,46.4856,135.8833,82.6,65,85,2.42
punta arenas,-53.15,-70.9167,35.71,93,40,3.44
cape town,-33.9258,18.4232,52.88,82,65,5.01
goksun,38.021,36.4973,67.15,53,0,5.19
severo-kurilsk,50.6789,156.125,54.45,88,65,5.28
arraial do cabo,-22.9661,-42.0278,64.99,65,56,8.23
broome,42.2506,-75.833,68.97,88,90,1.99
shache,38.4167,77.2406,75.25,45,100,2.28
suba,10.8438,121.0102,84.36,77,100,16.02
hoopstad,-27.8327,25.9083,43.25,45,100,7.49
butaritari,3.0707,172.7902,82.31,74,14,7.74
cape town,-33.9258,18.4232,52.88,82,65,5.01
beringovskiy,63.05,179.3167,45.03,85,100,9.8
port alfred,-33.5906,26.891,53.91,75,100,23.31
dikson,73.5069,80.5464,46.65,67,100,14.72
punta arenas,-53.15,-70.9167,35.71,93,40,3.44
kosovska mitrovica,42.8833,20.8667,64.74,92,0,5.95
mahibadhoo,3.7833,72.9667,82.74,75,100,12.93
east london,-33.0153,27.9116,55.27,69,100,19.46
ushuaia,-54.8,-68.3,33.46,75,75,6.91
lensk,60.7253,114.9278,73.04,52,88,5.35
kavieng,-2.5744,150.7967,84.45,67,96,3.53
castro,-24.7911,-50.0119,44.1,63,100,1.99
saint george,37.1041,-113.5841,93.34,35,1,27.63
ushuaia,-54.8,-68.3,33.46,75,75,6.91
moron,-34.6534,-58.6198,53.98,69,8,1.01
dordrecht,51.81,4.6736,62.98,85,0,4.45
segovia,41.1667,-4.0,72.68,29,1,6.93
boddam,57.4667,-1.7833,57.58,90,96,1.43
ribeira grande,38.5167,-28.7,68.81,80,37,15.7
khatanga,71.9667,102.5,58.28,77,100,12.88
egvekinot,66.3167,-179.1667,43.47,67,66,9.95
batticaloa,7.7102,81.6924,81.9,66,100,11.97
busselton,-33.65,115.3333,58.08,87,70,15.03
chapais,49.7834,-74.8492,58.78,59,66,5.1
hilo,19.7297,-155.09,78.24,86,90,9.22
ust-uda,54.1742,103.0304,72.52,54,99,5.08
mahebourg,-20.4081,57.7,71.26,60,40,14.97
kiboga,0.9161,31.7742,63.77,76,94,1.97
erzin,36.9559,36.2,79.52,83,32,1.1
verkhoyansk,67.5447,133.385,68.41,45,100,13.13
victoria,22.2855,114.1577,81.25,97,100,7.0
nome,64.5011,-165.4064,51.87,82,90,17.27
griffith,41.5284,-87.4237,75.02,80,40,1.99
busselton,-33.65,115.3333,58.08,87,70,15.03
albany,42.6001,-73.9662,72.36,84,42,4.0
avarua,-21.2078,-159.775,80.65,78,75,13.8
